"cell","year"
"7198","2004"
"7198","2010"
"7198","2013"
"7199","2004"
"7199","2010"
"7199","2013"
"7278","2004"
"7278","2010"
"7278","2013"
"7279","2004"
"7279","2010"
"7279","2013"
"7280","2004"
"7280","2010"
"7280","2013"
"7281","2001"
"7281","2002"
"7281","2003"
"7281","2004"
"7281","2005"
"7281","2006"
"7281","2007"
"7281","2008"
"7281","2009"
"7281","2010"
"7281","2011"
"7281","2012"
"7281","2013"
"7281","2014"
"7281","2015"
"7281","2016"
"7281","2017"
"7281","2018"
"7281","2019"
"7359","2004"
"7359","2010"
"7359","2013"
"7360","2004"
"7360","2010"
"7360","2013"
"7361","2004"
"7361","2010"
"7361","2013"
"7441","2004"
"7441","2010"
"7441","2013"
"7442","2004"
"7442","2010"
"7442","2013"
"7443","2004"
"7443","2010"
"7443","2013"
"7522","2004"
"7522","2010"
"7522","2013"
"7523","2004"
"7523","2010"
"7523","2013"
